step,loss,perplexity,passed,loss_mean_10,loss_std_10,loss_cv_10,ppl_mean_10,ppl_std_10,ppl_cv_10,timestamp
100000,6.6463,1306.2,False,,,,,,,
101000,8.4957,1160.9,False,7.571,0.9247,12.21,1233.55,72.65,5.89,
102000,7.455,1048.5,False,7.5323,0.757,10.05,1171.87,105.49,9.0,
103000,6.937,884.1,False,7.3835,0.7044,9.54,1099.93,154.51,14.05,
104000,6.8527,843.2,False,7.2773,0.6649,9.14,1048.58,172.17,16.42,
105000,6.5653,809.4,False,7.1587,0.6624,9.25,1008.72,180.69,17.91,
106000,6.0405,795.2,False,6.9989,0.7275,10.39,978.21,183.21,18.73,
107000,6.5983,778.0,False,6.9489,0.6933,9.98,953.19,183.73,19.27,
108000,5.9309,766.6,False,6.8357,0.7277,10.65,932.46,182.87,19.61,
109000,6.5463,743.8,False,6.8068,0.6958,10.22,913.59,182.49,19.97,
110000,6.861,771.9,False,6.8283,0.6938,10.16,860.16,130.54,15.18,
111000,6.6691,762.0,False,6.6456,0.4154,6.25,820.27,85.84,10.46,
112000,5.5305,750.3,False,6.4532,0.4408,6.83,790.45,41.95,5.31,
113000,6.4551,738.9,False,6.405,0.4106,6.41,775.93,30.62,3.95,
114000,6.979,724.6,False,6.4176,0.4259,6.64,764.07,24.66,3.23,
115000,7.0831,740.8,False,6.4694,0.4699,7.26,757.21,20.24,2.67,
116000,5.8135,740.6,False,6.4467,0.4949,7.68,751.75,16.22,2.16,
117000,6.4975,736.4,False,6.4366,0.4927,7.65,747.59,14.16,1.89,
118000,6.8442,744.8,False,6.5279,0.4748,7.27,745.41,12.67,1.7,
119000,6.5561,767.2,False,6.5289,0.4749,7.27,747.75,14.22,1.9,
120000,6.7037,780.6,False,6.5132,0.4661,7.16,748.62,15.84,2.12,
121000,6.7511,776.2,False,6.5214,0.4695,7.2,750.04,17.53,2.34,
122000,6.8984,744.1,False,6.6582,0.3431,5.15,749.42,17.62,2.35,
123000,6.7776,756.8,False,6.6904,0.3377,5.05,751.21,17.36,2.31,
124000,7.0296,777.8,False,6.6955,0.3423,5.11,756.53,16.53,2.18,
125000,6.7727,748.6,False,6.6644,0.319,4.79,757.31,15.94,2.1,
126000,6.9002,796.6,False,6.7731,0.152,2.24,762.91,18.69,2.45,
127000,6.8005,786.4,False,6.8034,0.1211,1.78,767.91,17.58,2.29,
128000,7.2365,752.3,False,6.8426,0.1781,2.6,768.66,16.72,2.17,
129000,7.0875,755.5,False,6.8958,0.1633,2.37,767.49,17.18,2.24,
130000,6.0118,737.6,False,6.8266,0.3104,4.55,763.19,18.68,2.45,
131000,6.4134,853.9,False,6.7928,0.3342,4.92,770.96,33.08,4.29,
132000,6.9096,767.3,False,6.7939,0.3346,4.92,773.28,31.91,4.13,
133000,6.6234,784.1,False,6.7785,0.3385,4.99,776.01,31.55,4.07,
134000,7.3615,768.4,False,6.8117,0.3757,5.52,775.07,31.62,4.08,
135000,6.9905,753.6,False,6.8335,0.3791,5.55,775.57,31.24,4.03,
136000,6.7826,778.4,False,6.8217,0.3787,5.55,773.75,30.48,3.94,
137000,6.5323,762.4,False,6.7949,0.3886,5.72,771.35,30.33,3.93,
138000,7.2022,781.5,False,6.7915,0.3849,5.67,774.27,29.76,3.84,
139000,6.756,795.3,False,6.7583,0.372,5.5,778.25,29.64,3.81,
140000,7.0659,802.8,False,6.8637,0.2846,4.15,784.77,27.04,3.45,
141000,6.6471,808.5,False,6.8871,0.2547,3.7,780.23,17.0,2.18,
142000,4.8816,2150.9,False,6.6843,0.6526,9.76,918.59,411.1,44.75,
143000,7.0815,834.0,False,6.7301,0.6627,9.85,923.58,409.74,44.36,
144000,5.8004,897.2,False,6.574,0.6793,10.33,936.46,406.67,43.43,
145000,7.0108,795.0,False,6.576,0.6805,10.35,940.6,404.99,43.06,
146000,7.3658,844.5,False,6.6344,0.7196,10.85,947.21,402.83,42.53,
147000,7.968,774.1,False,6.7779,0.821,12.11,948.38,402.3,42.42,
148000,7.6336,1004.2,False,6.8211,0.8529,12.5,970.65,398.6,41.06,
149000,6.643,756.9,False,6.8098,0.8544,12.55,966.81,400.45,41.42,
150000,6.8708,790.8,False,6.7903,0.8506,12.53,965.61,400.96,41.52,
151000,7.1003,757.0,False,6.8356,0.8538,12.49,960.46,403.26,41.99,
152000,6.8837,784.5,False,7.0358,0.5543,7.88,823.82,73.03,8.86,
153000,7.0989,800.0,False,7.0375,0.5545,7.88,820.42,73.27,8.93,
154000,6.1445,752.0,False,7.0719,0.4827,6.83,805.9,70.97,8.81,
155000,6.2934,749.4,False,7.0002,0.5367,7.67,801.34,72.96,9.1,
156000,7.3411,759.3,False,6.9977,0.5351,7.65,792.82,72.39,9.13,
157000,6.9735,746.5,False,6.8983,0.427,6.19,790.06,73.57,9.31,
158000,7.9347,816.7,False,6.9284,0.4846,6.99,771.31,23.37,3.03,
159000,6.3141,793.4,False,6.8955,0.5131,7.44,774.96,23.68,3.06,
160000,6.5554,772.8,False,6.864,0.5233,7.62,773.16,23.09,2.99,
161000,6.6865,755.7,False,6.8226,0.5193,7.61,773.03,23.18,3.0,
162000,6.3286,771.2,False,6.7671,0.5391,7.97,771.7,22.87,2.96,
163000,6.1524,832.1,False,6.6724,0.5554,8.32,774.91,28.24,3.64,
164000,6.8605,753.4,False,6.744,0.5282,7.83,775.05,28.13,3.63,
165000,6.4263,791.6,False,6.7573,0.5183,7.67,779.27,27.11,3.48,
166000,6.49,792.6,False,6.6722,0.4842,7.26,782.6,26.49,3.38,
167000,6.9046,773.2,False,6.6653,0.4803,7.21,785.27,23.94,3.05,
168000,6.8954,751.7,False,6.5614,0.2531,3.86,778.77,23.34,3.0,
169000,6.4372,771.6,False,6.5737,0.2436,3.71,776.59,22.88,2.95,
