step,loss,perplexity,passed,loss_mean_10,loss_std_10,loss_cv_10,ppl_mean_10,ppl_std_10,ppl_cv_10,timestamp
91000,7.5981,2906.5,False,,,,,,,
92000,7.5907,2285.7,False,7.5944,0.0037,0.05,2596.1,310.4,11.96,
93000,8.5507,2122.6,False,7.9132,0.4508,5.7,2438.27,337.72,13.85,
94000,8.4083,1829.7,False,8.037,0.4454,5.54,2286.12,393.68,17.22,
95000,7.9584,1796.7,False,8.0212,0.3996,4.98,2188.24,402.88,18.41,
96000,7.017,1556.8,False,7.8539,0.5226,6.65,2083.0,436.62,20.96,
97000,8.0343,1880.3,False,7.8796,0.488,6.19,2054.04,410.41,19.98,
98000,7.0424,1428.0,False,7.775,0.5339,6.87,1975.79,436.17,22.08,
99000,4.9299,3136.8,False,7.4589,1.0261,13.76,2104.79,549.76,26.12,
100000,6.1054,1348.3,False,7.3235,1.0547,14.4,2029.14,568.79,28.03,
101000,7.5177,1549.4,False,7.3155,1.0529,14.39,1893.43,501.14,26.47,
102000,6.4887,1313.5,False,7.2053,1.0757,14.93,1796.21,509.84,28.38,
103000,7.224,1359.7,False,7.0726,0.9791,13.84,1719.92,512.36,29.79,
104000,7.0685,1466.8,False,6.9386,0.8731,12.58,1683.63,516.14,30.66,
105000,6.9209,1401.3,False,6.8349,0.8047,11.77,1644.09,521.09,31.69,
106000,6.9152,1258.3,False,6.8247,0.803,11.77,1614.24,533.63,33.06,
107000,6.6882,1308.1,False,6.6901,0.6944,10.38,1557.02,532.71,34.21,
108000,6.4774,1406.8,False,6.6336,0.6864,10.35,1554.9,533.26,34.3,
109000,7.0673,1416.9,False,6.8473,0.3924,5.73,1382.91,80.31,5.81,
110000,7.2622,1287.2,False,6.963,0.3206,4.6,1376.8,84.9,6.17,
111000,6.8863,1289.3,False,6.8999,0.2619,3.8,1350.79,65.72,4.87,
112000,6.8596,1318.9,False,6.937,0.2247,3.24,1351.33,65.43,4.84,
113000,6.4401,1308.8,False,6.8586,0.2465,3.59,1346.24,66.55,4.94,
114000,6.1523,1268.1,False,6.7669,0.3128,4.62,1326.37,56.49,4.26,
115000,7.0613,1244.9,False,6.781,0.3224,4.75,1310.73,55.22,4.21,
116000,6.3274,1338.8,False,6.7222,0.3454,5.14,1318.78,52.8,4.0,
117000,7.9281,1349.3,False,6.8462,0.4992,7.29,1322.9,53.41,4.04,
118000,6.4269,1309.9,False,6.8412,0.5032,7.35,1313.21,45.52,3.47,
119000,7.8241,1269.9,False,6.9168,0.5822,8.42,1298.51,31.12,2.4,
120000,7.9814,1340.0,False,6.9887,0.6597,9.44,1303.79,33.16,2.54,
121000,6.7637,1244.6,False,6.9765,0.6626,9.5,1299.32,37.54,2.89,
122000,7.1787,1377.7,False,7.0084,0.6639,9.47,1305.2,44.17,3.38,
123000,6.3082,1313.2,False,6.9952,0.6762,9.67,1305.64,44.22,3.39,
124000,7.5878,1309.7,False,7.1388,0.6331,8.87,1309.8,42.42,3.24,
125000,6.0989,1380.2,False,7.0425,0.7064,10.03,1323.33,41.11,3.11,
126000,6.0792,1306.3,False,7.0177,0.7349,10.47,1320.08,41.05,3.11,
127000,7.2571,1297.6,False,6.9506,0.6771,9.74,1314.91,40.29,3.06,
128000,7.2594,1292.2,False,7.0339,0.6585,9.36,1313.14,40.86,3.11,
129000,6.6276,1384.9,False,6.9142,0.611,8.84,1324.64,43.19,3.26,
130000,6.2162,1449.0,False,6.7377,0.5263,7.81,1335.54,57.18,4.28,
131000,7.0828,1459.9,False,6.7696,0.5365,7.93,1357.07,59.37,4.38,
132000,7.5285,1446.9,False,6.8046,0.5722,8.41,1363.99,65.13,4.77,
133000,6.7405,1414.7,False,6.8478,0.549,8.02,1374.14,64.33,4.68,
