step,prompt,category,avg_good_prob,avg_bad_prob,log_ratio,correct,timestamp
1000,Le chat,gender,0.000000,0.000000,4.7433,True,2025-12-24T16:04:12.568454
1000,La maison,gender,0.000000,0.000000,0.7979,True,2025-12-24T16:04:12.568459
1000,Il,gender,0.000000,0.000000,5.0964,True,2025-12-24T16:04:12.568463
1000,Elle,gender,0.000003,0.000000,5.2407,True,2025-12-24T16:04:12.568467
1000,Les chats,number,0.000000,0.000000,-5.6117,False,2025-12-24T16:04:12.568470
1000,Les maisons,number,0.000000,0.000000,-3.8970,False,2025-12-24T16:04:12.568474
1000,Je vois le,article_gender,0.000001,0.000000,8.9648,True,2025-12-24T16:04:12.568477
1000,Je vois la,article_gender,0.000000,0.000000,0.4923,True,2025-12-24T16:04:12.568481
1000,noir et,collocation,0.000000,0.000000,-0.0000,False,2025-12-24T16:04:12.568485
1000,jour et,collocation,0.000000,0.000000,-0.0000,False,2025-12-24T16:04:12.568488
2000,Le chat,gender,0.000000,0.000000,0.1077,True,2025-12-24T16:09:18.923399
2000,La maison,gender,0.000000,0.000000,0.0000,True,2025-12-24T16:09:18.923404
2000,Il,gender,0.000000,0.000000,6.4044,True,2025-12-24T16:09:18.923408
2000,Elle,gender,0.000000,0.000000,3.3399,True,2025-12-24T16:09:18.923411
2000,Les chats,number,0.000000,0.000000,-0.1807,False,2025-12-24T16:09:18.923415
2000,Les maisons,number,0.000000,0.000000,-0.0000,False,2025-12-24T16:09:18.923418
2000,Je vois le,article_gender,0.000000,0.000000,1.7253,True,2025-12-24T16:09:18.923421
2000,Je vois la,article_gender,0.000000,0.000000,1.6770,True,2025-12-24T16:09:18.923424
2000,noir et,collocation,0.000000,0.000000,0.0000,True,2025-12-24T16:09:18.923428
2000,jour et,collocation,0.000000,0.000000,-0.0000,False,2025-12-24T16:09:18.923431
3000,Le chat,gender,0.000000,0.000000,6.3291,True,2025-12-24T16:23:30.764645
3000,La maison,gender,0.000000,0.000000,0.3286,True,2025-12-24T16:23:30.764650
3000,Il,gender,0.000000,0.000000,7.9065,True,2025-12-24T16:23:30.764654
3000,Elle,gender,0.000073,0.000000,13.5053,True,2025-12-24T16:23:30.764658
3000,Les chats,number,0.000000,0.000000,-1.0561,False,2025-12-24T16:23:30.764661
3000,Les maisons,number,0.000000,0.000000,0.0007,True,2025-12-24T16:23:30.764665
3000,Je vois le,article_gender,0.000000,0.000000,0.0019,True,2025-12-24T16:23:30.764668
3000,Je vois la,article_gender,0.000002,0.000000,10.1119,True,2025-12-24T16:23:30.764672
3000,noir et,collocation,0.000000,0.000000,0.0000,True,2025-12-24T16:23:30.764675
3000,jour et,collocation,0.000000,0.000000,0.0000,False,2025-12-24T16:23:30.764678
4000,Le chat,gender,0.000000,0.000000,7.8971,True,2025-12-24T16:40:28.708034
4000,La maison,gender,0.000000,0.000000,0.2142,True,2025-12-24T16:40:28.708039
4000,Il,gender,0.234497,0.000000,21.4782,True,2025-12-24T16:40:28.708042
4000,Elle,gender,0.098586,0.000000,20.7056,True,2025-12-24T16:40:28.708046
4000,Les chats,number,0.000000,0.000000,5.7642,True,2025-12-24T16:40:28.708049
4000,Les maisons,number,0.000000,0.000000,1.2610,True,2025-12-24T16:40:28.708052
4000,Je vois le,article_gender,0.000001,0.000000,8.8183,True,2025-12-24T16:40:28.708056
4000,Je vois la,article_gender,0.000000,0.000000,4.4115,True,2025-12-24T16:40:28.708059
4000,noir et,collocation,0.000000,0.000000,2.1078,True,2025-12-24T16:40:28.708062
4000,jour et,collocation,0.000000,0.000000,-0.0000,False,2025-12-24T16:40:28.708066
5000,Le chat,gender,0.000000,0.000000,6.1105,True,2025-12-24T16:57:26.810839
5000,La maison,gender,0.000000,0.000000,1.0075,True,2025-12-24T16:57:26.810844
5000,Il,gender,0.000010,0.000000,11.5613,True,2025-12-24T16:57:26.810848
5000,Elle,gender,0.244327,0.000000,21.5983,True,2025-12-24T16:57:26.810851
5000,Les chats,number,0.000033,0.000000,12.7102,True,2025-12-24T16:57:26.810854
5000,Les maisons,number,0.000000,0.000000,5.0279,True,2025-12-24T16:57:26.810857
5000,Je vois le,article_gender,0.000993,0.000000,16.1107,True,2025-12-24T16:57:26.810861
5000,Je vois la,article_gender,0.000003,0.000000,10.3100,True,2025-12-24T16:57:26.810865
5000,noir et,collocation,0.000000,0.000000,-0.1228,False,2025-12-24T16:57:26.810869
5000,jour et,collocation,0.000000,0.000000,0.0000,False,2025-12-24T16:57:26.810872
6000,Le chat,gender,0.001746,0.000000,16.6619,True,2025-12-24T17:14:24.516251
6000,La maison,gender,0.000201,0.000000,14.5124,True,2025-12-24T17:14:24.516255
6000,Il,gender,0.241058,0.000000,21.6013,True,2025-12-24T17:14:24.516258
6000,Elle,gender,0.238632,0.000000,21.5927,True,2025-12-24T17:14:24.516262
6000,Les chats,number,0.315449,0.000000,21.8719,True,2025-12-24T17:14:24.516265
6000,Les maisons,number,0.001228,0.000000,16.3231,True,2025-12-24T17:14:24.516268
6000,Je vois le,article_gender,0.000000,0.000000,6.9398,True,2025-12-24T17:14:24.516272
6000,Je vois la,article_gender,0.000000,0.000000,7.9433,True,2025-12-24T17:14:24.516275
6000,noir et,collocation,0.001859,0.000000,15.6428,True,2025-12-24T17:14:24.516278
6000,jour et,collocation,0.000000,0.000000,-0.0000,False,2025-12-24T17:14:24.516282
7000,Le chat,gender,0.192155,0.000000,21.3764,True,2025-12-24T17:31:22.024089
7000,La maison,gender,0.064973,0.000000,20.2891,True,2025-12-24T17:31:22.024094
7000,Il,gender,0.249983,0.000000,21.6395,True,2025-12-24T17:31:22.024098
7000,Elle,gender,0.250000,0.000000,21.6396,True,2025-12-24T17:31:22.024101
7000,Les chats,number,0.320845,0.000000,21.8854,True,2025-12-24T17:31:22.024104
7000,Les maisons,number,0.095238,0.000000,20.6716,True,2025-12-24T17:31:22.024108
7000,Je vois le,article_gender,0.000000,0.000000,0.8993,True,2025-12-24T17:31:22.024111
7000,Je vois la,article_gender,0.000010,0.000000,11.4810,True,2025-12-24T17:31:22.024114
7000,noir et,collocation,0.000002,0.000000,2.4024,True,2025-12-24T17:31:22.024117
7000,jour et,collocation,0.000000,0.000000,-0.0000,False,2025-12-24T17:31:22.024121
8000,Le chat,gender,0.000000,0.000000,8.4158,True,2025-12-24T17:48:19.482628
8000,La maison,gender,0.000000,0.000000,2.2831,True,2025-12-24T17:48:19.482633
8000,Il,gender,0.249999,0.000000,21.6396,True,2025-12-24T17:48:19.482636
8000,Elle,gender,0.249997,0.000000,21.6395,True,2025-12-24T17:48:19.482639
8000,Les chats,number,0.000055,0.000000,13.2127,True,2025-12-24T17:48:19.482643
8000,Les maisons,number,0.000000,0.000000,6.9970,True,2025-12-24T17:48:19.482646
8000,Je vois le,article_gender,0.000000,0.000000,0.0165,True,2025-12-24T17:48:19.482649
8000,Je vois la,article_gender,0.000000,0.000000,1.4332,True,2025-12-24T17:48:19.482653
8000,noir et,collocation,0.000000,0.000000,2.4534,True,2025-12-24T17:48:19.482656
8000,jour et,collocation,0.000000,0.000000,0.0000,False,2025-12-24T17:48:19.482660
9000,Le chat,gender,0.000606,0.000000,15.6171,True,2025-12-24T18:05:16.897203
9000,La maison,gender,0.001457,0.000000,16.4941,True,2025-12-24T18:05:16.897208
9000,Il,gender,0.250000,0.000000,21.6396,True,2025-12-24T18:05:16.897212
9000,Elle,gender,0.250000,0.000000,21.6396,True,2025-12-24T18:05:16.897216
9000,Les chats,number,0.000001,0.000000,8.7578,True,2025-12-24T18:05:16.897219
9000,Les maisons,number,0.000009,0.000000,11.3905,True,2025-12-24T18:05:16.897222
9000,Je vois le,article_gender,0.000003,0.000000,10.1511,True,2025-12-24T18:05:16.897226
9000,Je vois la,article_gender,0.000001,0.000000,8.7040,True,2025-12-24T18:05:16.897229
9000,noir et,collocation,0.000149,0.000004,3.6738,True,2025-12-24T18:05:16.897233
9000,jour et,collocation,0.000000,0.000000,-0.0000,False,2025-12-24T18:05:16.897236
10000,Le chat,gender,0.000000,0.000000,8.3512,True,2025-12-24T18:22:14.099902
10000,La maison,gender,0.000002,0.000000,9.8627,True,2025-12-24T18:22:14.099906
10000,Il,gender,0.249884,0.000000,21.5981,True,2025-12-24T18:22:14.099910
10000,Elle,gender,0.249999,0.000000,21.1399,True,2025-12-24T18:22:14.099913
10000,Les chats,number,0.000000,0.000000,2.4581,True,2025-12-24T18:22:14.099917
10000,Les maisons,number,0.000000,0.000000,1.9388,True,2025-12-24T18:22:14.099920
10000,Je vois le,article_gender,0.000000,0.000000,1.4710,True,2025-12-24T18:22:14.099924
10000,Je vois la,article_gender,0.000001,0.000000,9.1316,True,2025-12-24T18:22:14.099927
10000,noir et,collocation,0.000000,0.000000,0.2701,True,2025-12-24T18:22:14.099931
10000,jour et,collocation,0.000000,0.000000,0.0000,False,2025-12-24T18:22:14.099934
11000,Le chat,gender,0.000001,0.000000,9.3940,True,2025-12-24T18:39:11.006038
11000,La maison,gender,0.000002,0.000000,9.9541,True,2025-12-24T18:39:11.006043
11000,Il,gender,0.250000,0.000000,21.6386,True,2025-12-24T18:39:11.006046
11000,Elle,gender,0.250000,0.000000,21.5759,True,2025-12-24T18:39:11.006050
11000,Les chats,number,0.000000,0.000000,4.4552,True,2025-12-24T18:39:11.006053
11000,Les maisons,number,0.000000,0.000000,0.1947,True,2025-12-24T18:39:11.006056
11000,Je vois le,article_gender,0.000000,0.000000,0.5096,True,2025-12-24T18:39:11.006060
11000,Je vois la,article_gender,0.000041,0.000000,12.9254,True,2025-12-24T18:39:11.006063
11000,noir et,collocation,0.000000,0.000000,3.6764,True,2025-12-24T18:39:11.006067
11000,jour et,collocation,0.000000,0.000000,-0.0000,False,2025-12-24T18:39:11.006070
12000,Le chat,gender,0.000480,0.000000,15.3845,True,2025-12-24T18:56:08.721427
12000,La maison,gender,0.000252,0.000000,14.7398,True,2025-12-24T18:56:08.721431
12000,Il,gender,0.247073,0.000000,21.6005,True,2025-12-24T18:56:08.721435
12000,Elle,gender,0.249965,0.000000,19.9758,True,2025-12-24T18:56:08.721438
12000,Les chats,number,0.000000,0.000000,0.8081,True,2025-12-24T18:56:08.721442
12000,Les maisons,number,0.000000,0.000000,0.8636,True,2025-12-24T18:56:08.721445
12000,Je vois le,article_gender,0.000000,0.000000,0.0402,True,2025-12-24T18:56:08.721448
12000,Je vois la,article_gender,0.000000,0.000000,7.3397,True,2025-12-24T18:56:08.721452
12000,noir et,collocation,0.000001,0.000000,9.3230,True,2025-12-24T18:56:08.721455
12000,jour et,collocation,0.000000,0.000000,0.0000,True,2025-12-24T18:56:08.721459
13000,Le chat,gender,0.005907,0.000000,17.8943,True,2025-12-24T19:13:07.962236
13000,La maison,gender,0.000001,0.000000,8.6212,True,2025-12-24T19:13:07.962240
13000,Il,gender,0.249912,0.000000,21.3607,True,2025-12-24T19:13:07.962244
13000,Elle,gender,0.249988,0.000000,19.5059,True,2025-12-24T19:13:07.962247
13000,Les chats,number,0.000003,0.000000,10.0289,True,2025-12-24T19:13:07.962251
13000,Les maisons,number,0.000000,0.000000,0.0018,True,2025-12-24T19:13:07.962254
13000,Je vois le,article_gender,0.000000,0.000000,0.0004,True,2025-12-24T19:13:07.962257
13000,Je vois la,article_gender,0.000000,0.000000,3.4390,True,2025-12-24T19:13:07.962261
13000,noir et,collocation,0.000006,0.000000,11.0086,True,2025-12-24T19:13:07.962264
13000,jour et,collocation,0.000000,0.000000,0.0000,True,2025-12-24T19:13:07.962267
14000,Le chat,gender,0.032930,0.000000,19.6125,True,2025-12-24T19:33:29.832913
14000,La maison,gender,0.000002,0.000000,10.0443,True,2025-12-24T19:33:29.832918
14000,Il,gender,0.111333,0.000000,20.5974,True,2025-12-24T19:33:29.832921
14000,Elle,gender,0.241358,0.000000,20.0118,True,2025-12-24T19:33:29.832925
14000,Les chats,number,0.004378,0.000000,16.6785,True,2025-12-24T19:33:29.832928
14000,Les maisons,number,0.000003,0.000000,10.2027,True,2025-12-24T19:33:29.832932
14000,Je vois le,article_gender,0.000000,0.000000,0.0007,True,2025-12-24T19:33:29.832936
14000,Je vois la,article_gender,0.000000,0.000000,4.6358,True,2025-12-24T19:33:29.832939
14000,noir et,collocation,0.000000,0.000000,7.8715,True,2025-12-24T19:33:29.832943
14000,jour et,collocation,0.000000,0.000000,0.0000,True,2025-12-24T19:33:29.832946
15000,Le chat,gender,0.000151,0.000000,14.2294,True,2025-12-24T19:50:40.557673
15000,La maison,gender,0.000239,0.000000,14.6877,True,2025-12-24T19:50:40.557678
15000,Il,gender,0.250000,0.000000,21.5532,True,2025-12-24T19:50:40.557681
15000,Elle,gender,0.250000,0.000000,21.3246,True,2025-12-24T19:50:40.557685
15000,Les chats,number,0.000005,0.000000,10.2734,True,2025-12-24T19:50:40.557688
15000,Les maisons,number,0.000000,0.000000,0.0296,True,2025-12-24T19:50:40.557692
15000,Je vois le,article_gender,0.000000,0.000000,0.0000,True,2025-12-24T19:50:40.557695
15000,Je vois la,article_gender,0.000000,0.000000,0.0087,True,2025-12-24T19:50:40.557699
15000,noir et,collocation,0.000001,0.000000,9.4130,True,2025-12-24T19:50:40.557702
15000,jour et,collocation,0.000000,0.000000,0.0000,True,2025-12-24T19:50:40.557705
16000,Le chat,gender,0.003779,0.000000,17.4475,True,2025-12-24T20:07:37.347373
16000,La maison,gender,0.001151,0.000000,16.2590,True,2025-12-24T20:07:37.347378
16000,Il,gender,0.249983,0.000000,21.5445,True,2025-12-24T20:07:37.347381
16000,Elle,gender,0.249950,0.000000,20.9786,True,2025-12-24T20:07:37.347385
16000,Les chats,number,0.005135,0.000000,17.7449,True,2025-12-24T20:07:37.347388
16000,Les maisons,number,0.000000,0.000000,7.6266,True,2025-12-24T20:07:37.347392
16000,Je vois le,article_gender,0.000000,0.000000,0.6045,True,2025-12-24T20:07:37.347395
16000,Je vois la,article_gender,0.000000,0.000000,0.0074,True,2025-12-24T20:07:37.347398
16000,noir et,collocation,0.000000,0.000000,1.7895,True,2025-12-24T20:07:37.347401
16000,jour et,collocation,0.000000,0.000000,0.0004,True,2025-12-24T20:07:37.347405
17000,Le chat,gender,0.000126,0.000000,14.0466,True,2025-12-24T20:24:34.743168
17000,La maison,gender,0.000001,0.000000,8.6343,True,2025-12-24T20:24:34.743173
17000,Il,gender,0.249996,0.000000,21.6374,True,2025-12-24T20:24:34.743177
17000,Elle,gender,0.249993,0.000000,21.6347,True,2025-12-24T20:24:34.743180
17000,Les chats,number,0.000047,0.000000,12.8825,True,2025-12-24T20:24:34.743184
17000,Les maisons,number,0.000000,0.000000,1.2504,True,2025-12-24T20:24:34.743187
17000,Je vois le,article_gender,0.000000,0.000000,1.9329,True,2025-12-24T20:24:34.743190
17000,Je vois la,article_gender,0.000000,0.000000,0.0001,True,2025-12-24T20:24:34.743193
17000,noir et,collocation,0.000001,0.000000,8.8120,True,2025-12-24T20:24:34.743197
17000,jour et,collocation,0.000000,0.000000,0.0001,True,2025-12-24T20:24:34.743200
18000,Le chat,gender,0.081717,0.000000,20.5214,True,2025-12-24T20:41:31.226604
18000,La maison,gender,0.000103,0.000000,13.8462,True,2025-12-24T20:41:31.226609
18000,Il,gender,0.249999,0.000000,21.6389,True,2025-12-24T20:41:31.226612
18000,Elle,gender,0.250000,0.000000,21.6162,True,2025-12-24T20:41:31.226616
18000,Les chats,number,0.000713,0.000000,15.7422,True,2025-12-24T20:41:31.226627
18000,Les maisons,number,0.000000,0.000000,0.0026,True,2025-12-24T20:41:31.226630
18000,Je vois le,article_gender,0.000000,0.000000,5.1740,True,2025-12-24T20:41:31.226633
18000,Je vois la,article_gender,0.000000,0.000000,0.0637,True,2025-12-24T20:41:31.226637
18000,noir et,collocation,0.023174,0.000001,10.7075,True,2025-12-24T20:41:31.226640
18000,jour et,collocation,0.000000,0.000000,0.2563,True,2025-12-24T20:41:31.226643
19000,Le chat,gender,0.000049,0.000000,13.1014,True,2025-12-24T20:58:27.411239
19000,La maison,gender,0.000000,0.000000,7.3393,True,2025-12-24T20:58:27.411244
19000,Il,gender,0.250000,0.000000,21.6389,True,2025-12-24T20:58:27.411248
19000,Elle,gender,0.249986,0.000000,21.1118,True,2025-12-24T20:58:27.411252
19000,Les chats,number,0.000002,0.000000,10.0931,True,2025-12-24T20:58:27.411255
19000,Les maisons,number,0.000000,0.000000,0.0220,True,2025-12-24T20:58:27.411258
19000,Je vois le,article_gender,0.000000,0.000000,1.1891,True,2025-12-24T20:58:27.411262
19000,Je vois la,article_gender,0.000000,0.000000,0.0156,True,2025-12-24T20:58:27.411265
19000,noir et,collocation,0.000000,0.000000,5.1158,True,2025-12-24T20:58:27.411269
19000,jour et,collocation,0.000000,0.000000,0.1351,True,2025-12-24T20:58:27.411272
20000,Le chat,gender,0.019322,0.000000,19.0793,True,2025-12-24T21:15:23.989739
20000,La maison,gender,0.009008,0.000000,18.3162,True,2025-12-24T21:15:23.989744
20000,Il,gender,0.250000,0.000000,21.6396,True,2025-12-24T21:15:23.989748
20000,Elle,gender,0.250000,0.000000,21.6395,True,2025-12-24T21:15:23.989751
20000,Les chats,number,0.000000,0.000000,8.2614,True,2025-12-24T21:15:23.989754
20000,Les maisons,number,0.000000,0.000000,5.7347,True,2025-12-24T21:15:23.989758
20000,Je vois le,article_gender,0.000017,0.000000,12.0306,True,2025-12-24T21:15:23.989762
20000,Je vois la,article_gender,0.000000,0.000000,0.1619,True,2025-12-24T21:15:23.989765
20000,noir et,collocation,0.000000,0.000000,5.9853,True,2025-12-24T21:15:23.989768
20000,jour et,collocation,0.000000,0.000000,0.0825,True,2025-12-24T21:15:23.989772
21000,Le chat,gender,0.108823,0.000000,20.8078,True,2025-12-24T21:32:20.070611
21000,La maison,gender,0.000079,0.000000,13.5771,True,2025-12-24T21:32:20.070623
21000,Il,gender,0.248845,0.000000,20.8061,True,2025-12-24T21:32:20.070627
21000,Elle,gender,0.249823,0.000000,18.6805,True,2025-12-24T21:32:20.070630
21000,Les chats,number,0.002917,0.000000,17.1697,True,2025-12-24T21:32:20.070634
21000,Les maisons,number,0.000000,0.000000,0.0178,True,2025-12-24T21:32:20.070637
