step,accuracy,mean_log_ratio,correct,total,timestamp
10000,100.00,5.2458,10,10,2025-12-30T11:59:04.126601
11000,90.00,4.8916,9,10,2025-12-30T12:13:43.259933
12000,100.00,11.1095,10,10,2025-12-30T12:28:11.166519
13000,100.00,38.9667,10,10,2025-12-30T12:42:42.252356
14000,100.00,46.2879,10,10,2025-12-30T12:57:39.355944
15000,100.00,59.6917,10,10,2025-12-30T13:12:28.595981
16000,90.00,2.1189,9,10,2025-12-30T13:27:24.459451
17000,100.00,3.0869,10,10,2025-12-30T13:42:27.452228
18000,100.00,15.3609,10,10,2025-12-30T13:56:25.648643
19000,90.00,20.9950,9,10,2025-12-30T14:10:39.088940
20000,90.00,3.2387,9,10,2025-12-30T14:24:36.927628
21000,100.00,2.7177,10,10,2025-12-30T14:38:35.456872
22000,90.00,12.3385,9,10,2025-12-30T14:52:20.003481
23000,90.00,25.8503,9,10,2025-12-30T15:06:32.151271
24000,100.00,2.6941,10,10,2025-12-30T15:20:35.057882
25000,90.00,2.9629,9,10,2025-12-30T15:34:25.458371
26000,100.00,96.9105,10,10,2025-12-30T15:48:24.224652
27000,100.00,65.4516,10,10,2025-12-30T16:02:10.979591
28000,90.00,5.3647,9,10,2025-12-30T16:16:17.401358
29000,90.00,6.2151,9,10,2025-12-30T16:30:19.451118
30000,100.00,24.2313,10,10,2025-12-30T16:44:23.197802
31000,70.00,23.4355,7,10,2025-12-30T16:58:18.545471
32000,100.00,10.8158,10,10,2025-12-30T17:11:54.730817
33000,100.00,12.6686,10,10,2025-12-30T17:25:33.057479
34000,100.00,128.8243,10,10,2025-12-30T17:38:58.043012
35000,100.00,34.2139,10,10,2025-12-30T17:52:20.930704
36000,100.00,34.4651,10,10,2025-12-30T18:05:47.642230
37000,90.00,78.4446,9,10,2025-12-30T18:19:12.959670
38000,80.00,2.7941,8,10,2025-12-30T18:32:42.399450
39000,80.00,4.3236,8,10,2025-12-30T18:46:10.731807
40000,100.00,21.8305,10,10,2025-12-30T18:59:39.097433
41000,100.00,21.4078,10,10,2025-12-30T19:13:08.147937
42000,100.00,5.0265,10,10,2025-12-30T19:26:33.656898
43000,90.00,3.0249,9,10,2025-12-30T19:39:59.917557
44000,100.00,29.0636,10,10,2025-12-30T19:53:36.099392
45000,90.00,18.8092,9,10,2025-12-30T20:07:06.029359
46000,80.00,2.6322,8,10,2025-12-30T20:20:32.600096
47000,100.00,6.2855,10,10,2025-12-30T20:34:00.561326
48000,100.00,8.4014,10,10,2025-12-30T20:47:28.338368
49000,80.00,2.6957,8,10,2025-12-30T21:00:55.795025
50000,90.00,1.5702,9,10,2025-12-30T21:14:24.795267
51000,100.00,10.4231,10,10,2025-12-30T21:27:56.878492
52000,100.00,8.4931,10,10,2025-12-30T21:41:53.470387
53000,100.00,4.7463,10,10,2025-12-30T21:56:17.390299
54000,90.00,6.1289,9,10,2025-12-30T22:10:57.799515
55000,90.00,195.0753,9,10,2025-12-30T22:24:22.756503
56000,70.00,292.4807,7,10,2025-12-30T22:37:45.518714
57000,90.00,1.2224,9,10,2025-12-30T22:51:08.225367
58000,90.00,1.6949,9,10,2025-12-30T23:04:31.366624
59000,90.00,5.8763,9,10,2025-12-30T23:18:04.221501
60000,100.00,6.4026,10,10,2025-12-30T23:31:27.313158
61000,100.00,8.1391,10,10,2025-12-30T23:44:53.740424
62000,80.00,5.5620,8,10,2025-12-30T23:58:23.152699
63000,90.00,3.4518,9,10,2025-12-31T00:11:51.691395
64000,90.00,3.9336,9,10,2025-12-31T00:25:21.461684
65000,100.00,47.5540,10,10,2025-12-31T00:38:52.861953
66000,100.00,37.1712,10,10,2025-12-31T00:52:27.509425
67000,100.00,5.8189,10,10,2025-12-31T01:05:53.915771
68000,90.00,5.0797,9,10,2025-12-31T01:19:18.945774
69000,100.00,5.4420,10,10,2025-12-31T01:32:42.876924
70000,90.00,2.8072,9,10,2025-12-31T01:46:06.710618
71000,100.00,26.8652,10,10,2025-12-31T01:59:38.501541
72000,80.00,1.8112,8,10,2025-12-31T02:13:06.947203
73000,90.00,2.6609,9,10,2025-12-31T02:26:37.205372
74000,100.00,4.9107,10,10,2025-12-31T02:40:14.265442
75000,100.00,27.1721,10,10,2025-12-31T02:53:42.147202
76000,100.00,61.4488,10,10,2025-12-31T03:07:05.296808
77000,100.00,41.2967,10,10,2025-12-31T03:20:28.204843
78000,100.00,74.9568,10,10,2025-12-31T03:33:51.674976
79000,20.00,0.6331,2,10,2025-12-31T03:47:14.497564
80000,60.00,2.7834,6,10,2025-12-31T04:00:42.885933
81000,100.00,27.0299,10,10,2025-12-31T04:14:22.276347
82000,100.00,147.7976,10,10,2025-12-31T04:27:52.822478
83000,90.00,5.9647,9,10,2025-12-31T04:41:22.194649
84000,100.00,2.7132,10,10,2025-12-31T04:54:52.051691
85000,100.00,4.3312,10,10,2025-12-31T05:08:16.272017
86000,100.00,36.4725,10,10,2025-12-31T05:21:40.641110
87000,100.00,29.1558,10,10,2025-12-31T05:35:03.766204
88000,100.00,67.1544,10,10,2025-12-31T05:48:26.718087
89000,100.00,39.2981,10,10,2025-12-31T06:01:51.844543
90000,100.00,37.0457,10,10,2025-12-31T06:15:20.821454
91000,100.00,37.6354,10,10,2025-12-31T06:28:51.395598
92000,100.00,22.6528,10,10,2025-12-31T06:42:21.137743
93000,90.00,7.0775,9,10,2025-12-31T06:55:50.698170
94000,60.00,1.8582,6,10,2025-12-31T07:09:18.465131
95000,100.00,10.1090,10,10,2025-12-31T07:22:42.541112
96000,100.00,122.7377,10,10,2025-12-31T07:36:23.715379
97000,100.00,47.1536,10,10,2025-12-31T07:49:47.718867
98000,100.00,26.5135,10,10,2025-12-31T08:03:12.440739
99000,100.00,10.5667,10,10,2025-12-31T08:16:38.481197
100000,90.00,3.1485,9,10,2025-12-31T08:30:09.989023
101000,100.00,4.8312,10,10,2025-12-31T08:43:40.275735
102000,90.00,6.6308,9,10,2025-12-31T08:57:10.861058
103000,100.00,34.2559,10,10,2025-12-31T09:11:56.108174
104000,100.00,8.3176,10,10,2025-12-31T09:25:36.066617
105000,100.00,2.4095,10,10,2025-12-31T09:39:30.431456
106000,90.00,19.1952,9,10,2025-12-31T09:54:05.611582
107000,100.00,62.2936,10,10,2025-12-31T10:08:23.164353
108000,100.00,30.6303,10,10,2025-12-31T10:22:38.907358
109000,100.00,7.6621,10,10,2025-12-31T10:36:36.852810
110000,100.00,6.6440,10,10,2025-12-31T10:50:45.281058
111000,100.00,7.1770,10,10,2025-12-31T11:04:43.839644
112000,80.00,2.5898,8,10,2025-12-31T11:18:51.134082
113000,90.00,2.0902,9,10,2025-12-31T11:33:20.522463
114000,90.00,5.6503,9,10,2025-12-31T11:47:25.045159
115000,80.00,9.9104,8,10,2025-12-31T12:01:15.097481
