step,accuracy,mean_log_ratio,correct,total,timestamp
1000,60.00,1.5827,6,10,2025-12-24T16:04:12.568220
2000,70.00,1.3074,7,10,2025-12-24T16:09:18.923244
3000,80.00,3.7128,8,10,2025-12-24T16:23:30.764495
4000,90.00,7.2658,9,10,2025-12-24T16:40:28.707894
5000,80.00,8.4314,8,10,2025-12-24T16:57:26.810701
6000,90.00,14.3089,9,10,2025-12-24T17:14:24.516113
7000,90.00,14.2284,9,10,2025-12-24T17:31:22.023953
8000,90.00,7.8091,9,10,2025-12-24T17:48:19.482485
9000,90.00,11.8068,9,10,2025-12-24T18:05:16.897035
10000,90.00,7.6221,9,10,2025-12-24T18:22:14.099753
11000,90.00,8.4324,9,10,2025-12-24T18:39:11.005906
12000,100.00,9.0075,10,10,2025-12-24T18:56:08.721295
13000,100.00,9.1861,10,10,2025-12-24T19:13:07.962103
14000,100.00,10.9655,10,10,2025-12-24T19:33:29.832783
