step,category,accuracy,mean_log_ratio,correct,total,timestamp
1000,sv_agreement,60.00,1.4909,3,5,2025-12-28T06:45:07.210867
1000,article,50.00,-0.0000,1,2,2025-12-28T06:45:07.210886
1000,collocation,0.00,-0.0000,0,3,2025-12-28T06:45:07.210898
2000,sv_agreement,80.00,1.3109,4,5,2025-12-28T07:15:00.907869
2000,article,50.00,0.0017,1,2,2025-12-28T07:15:00.907889
2000,collocation,0.00,-0.0000,0,3,2025-12-28T07:15:00.907905
3000,sv_agreement,100.00,3.0159,5,5,2025-12-28T07:44:44.262985
3000,article,100.00,0.0013,2,2,2025-12-28T07:44:44.263006
3000,collocation,33.33,-0.0000,1,3,2025-12-28T07:44:44.263020
4000,sv_agreement,80.00,0.4659,4,5,2025-12-28T08:14:27.573410
4000,article,50.00,0.0020,1,2,2025-12-28T08:14:27.573431
4000,collocation,33.33,-0.0000,1,3,2025-12-28T08:14:27.573446
5000,sv_agreement,60.00,1.2275,3,5,2025-12-28T08:44:14.389788
5000,article,50.00,0.0000,1,2,2025-12-28T08:44:14.389814
5000,collocation,33.33,-0.0012,1,3,2025-12-28T08:44:14.389830
6000,sv_agreement,80.00,3.0632,4,5,2025-12-28T09:13:59.314607
6000,article,50.00,0.0083,1,2,2025-12-28T09:13:59.314632
6000,collocation,33.33,-0.0000,1,3,2025-12-28T09:13:59.314649
7000,sv_agreement,60.00,0.8302,3,5,2025-12-28T09:43:40.552315
7000,article,50.00,-0.0000,1,2,2025-12-28T09:43:40.552337
7000,collocation,33.33,-0.0000,1,3,2025-12-28T09:43:40.552352
8000,sv_agreement,80.00,2.7857,4,5,2025-12-28T10:13:18.905821
8000,article,50.00,0.0000,1,2,2025-12-28T10:13:18.905844
8000,collocation,33.33,-0.0000,1,3,2025-12-28T10:13:18.905858
9000,sv_agreement,80.00,3.4532,4,5,2025-12-28T10:43:00.325092
9000,article,50.00,0.0000,1,2,2025-12-28T10:43:00.325115
9000,collocation,33.33,-0.0000,1,3,2025-12-28T10:43:00.325130
10000,sv_agreement,60.00,1.3721,3,5,2025-12-28T11:12:37.107481
10000,article,50.00,-0.0000,1,2,2025-12-28T11:12:37.107503
10000,collocation,0.00,-0.0000,0,3,2025-12-28T11:12:37.107518
11000,sv_agreement,60.00,3.3280,3,5,2025-12-28T11:42:17.015756
11000,article,50.00,0.0000,1,2,2025-12-28T11:42:17.015781
11000,collocation,0.00,-0.0000,0,3,2025-12-28T11:42:17.015795
12000,sv_agreement,60.00,3.3576,3,5,2025-12-28T12:11:51.552890
12000,article,50.00,0.0000,1,2,2025-12-28T12:11:51.552911
12000,collocation,0.00,-0.0005,0,3,2025-12-28T12:11:51.552926
13000,sv_agreement,60.00,0.0906,3,5,2025-12-28T12:41:29.820957
13000,article,50.00,0.0000,1,2,2025-12-28T12:41:29.820978
13000,collocation,0.00,-0.0000,0,3,2025-12-28T12:41:29.820992
14000,sv_agreement,60.00,1.0646,3,5,2025-12-28T13:11:14.139356
14000,article,50.00,0.0000,1,2,2025-12-28T13:11:14.139382
14000,collocation,33.33,-0.0001,1,3,2025-12-28T13:11:14.139397
15000,sv_agreement,60.00,2.0738,3,5,2025-12-28T13:40:56.968757
15000,article,100.00,0.0000,2,2,2025-12-28T13:40:56.968779
15000,collocation,0.00,-0.0000,0,3,2025-12-28T13:40:56.968794
16000,sv_agreement,60.00,1.0223,3,5,2025-12-28T14:10:37.685903
16000,article,50.00,0.0000,1,2,2025-12-28T14:10:37.685925
16000,collocation,0.00,-0.0000,0,3,2025-12-28T14:10:37.685938
17000,sv_agreement,60.00,1.1610,3,5,2025-12-28T14:40:22.514329
17000,article,50.00,0.0000,1,2,2025-12-28T14:40:22.514351
17000,collocation,0.00,-0.0000,0,3,2025-12-28T14:40:22.514366
18000,sv_agreement,60.00,-0.0640,3,5,2025-12-28T15:10:10.210356
18000,article,50.00,0.0000,1,2,2025-12-28T15:10:10.210380
