step,category,accuracy,mean_log_ratio,correct,total,timestamp
1000,gender,100.00,0.0239,4,4,2025-12-28T06:45:07.211347
1000,number,0.00,-0.0353,0,2,2025-12-28T06:45:07.211363
1000,article_gender,50.00,-0.0967,1,2,2025-12-28T06:45:07.211374
1000,collocation,50.00,-0.0000,1,2,2025-12-28T06:45:07.211384
2000,gender,100.00,0.6360,4,4,2025-12-28T07:15:00.908233
2000,number,0.00,-1.7058,0,2,2025-12-28T07:15:00.908252
2000,article_gender,100.00,13.8881,2,2,2025-12-28T07:15:00.908264
2000,collocation,50.00,-0.0000,1,2,2025-12-28T07:15:00.908276
3000,gender,100.00,1.5274,4,4,2025-12-28T07:44:44.263315
3000,number,0.00,-2.3442,0,2,2025-12-28T07:44:44.263332
3000,article_gender,100.00,5.4392,2,2,2025-12-28T07:44:44.263343
3000,collocation,50.00,0.0000,1,2,2025-12-28T07:44:44.263353
4000,gender,100.00,0.4100,4,4,2025-12-28T08:14:27.573780
4000,number,0.00,-0.9751,0,2,2025-12-28T08:14:27.573799
4000,article_gender,50.00,7.0891,1,2,2025-12-28T08:14:27.573812
4000,collocation,0.00,-0.1834,0,2,2025-12-28T08:14:27.573824
5000,gender,100.00,1.2636,4,4,2025-12-28T08:44:14.390194
5000,number,0.00,-2.0574,0,2,2025-12-28T08:44:14.390215
5000,article_gender,50.00,7.9445,1,2,2025-12-28T08:44:14.390229
5000,collocation,0.00,-0.0000,0,2,2025-12-28T08:44:14.390241
6000,gender,100.00,0.6111,4,4,2025-12-28T09:13:59.315094
6000,number,0.00,-0.3387,0,2,2025-12-28T09:13:59.315114
6000,article_gender,100.00,0.0000,2,2,2025-12-28T09:13:59.315127
6000,collocation,50.00,0.0000,1,2,2025-12-28T09:13:59.315139
7000,gender,100.00,0.0449,4,4,2025-12-28T09:43:40.552704
7000,number,0.00,-0.0040,0,2,2025-12-28T09:43:40.552723
7000,article_gender,50.00,1.5316,1,2,2025-12-28T09:43:40.552737
7000,collocation,0.00,0.0000,0,2,2025-12-28T09:43:40.552749
8000,gender,100.00,0.5823,4,4,2025-12-28T10:13:18.906215
8000,number,0.00,-2.4960,0,2,2025-12-28T10:13:18.906233
8000,article_gender,50.00,-0.0000,1,2,2025-12-28T10:13:18.906246
8000,collocation,50.00,-0.0000,1,2,2025-12-28T10:13:18.906258
9000,gender,100.00,2.3485,4,4,2025-12-28T10:43:00.325470
9000,number,0.00,-2.7600,0,2,2025-12-28T10:43:00.325489
9000,article_gender,50.00,-0.0000,1,2,2025-12-28T10:43:00.325502
9000,collocation,50.00,0.0000,1,2,2025-12-28T10:43:00.325514
10000,gender,100.00,0.6018,4,4,2025-12-28T11:12:37.107883
10000,number,0.00,-1.6227,0,2,2025-12-28T11:12:37.107901
10000,article_gender,100.00,0.0000,2,2,2025-12-28T11:12:37.107914
10000,collocation,50.00,0.0000,1,2,2025-12-28T11:12:37.107926
11000,gender,100.00,4.4605,4,4,2025-12-28T11:42:17.016131
11000,number,0.00,-3.0246,0,2,2025-12-28T11:42:17.016149
11000,article_gender,100.00,0.0000,2,2,2025-12-28T11:42:17.016162
11000,collocation,50.00,-0.0000,1,2,2025-12-28T11:42:17.016174
12000,gender,100.00,5.5489,4,4,2025-12-28T12:11:51.553264
