step,accuracy,mean_log_ratio,correct,total,timestamp
1000,40.00,0.7454,4,10,2025-12-28T06:45:07.210691
2000,50.00,0.6558,5,10,2025-12-28T07:15:00.907720
3000,80.00,1.5082,8,10,2025-12-28T07:44:44.262829
4000,60.00,0.2333,6,10,2025-12-28T08:14:27.573254
5000,50.00,0.6134,5,10,2025-12-28T08:44:14.389589
6000,60.00,1.5333,6,10,2025-12-28T09:13:59.314425
7000,50.00,0.4151,5,10,2025-12-28T09:43:40.552157
8000,60.00,1.3928,6,10,2025-12-28T10:13:18.905591
9000,60.00,1.7266,6,10,2025-12-28T10:43:00.324932
10000,40.00,0.6860,4,10,2025-12-28T11:12:37.107305
11000,40.00,1.6640,4,10,2025-12-28T11:42:17.015596
12000,40.00,1.6786,4,10,2025-12-28T12:11:51.552707
13000,40.00,0.0453,4,10,2025-12-28T12:41:29.820753
14000,50.00,0.5323,5,10,2025-12-28T13:11:14.139186
15000,50.00,1.0369,5,10,2025-12-28T13:40:56.968581
16000,40.00,0.5111,4,10,2025-12-28T14:10:37.685716
17000,40.00,0.5805,4,10,2025-12-28T14:40:22.514167
18000,40.00,-0.0500,4,10,2025-12-28T15:10:10.210087
19000,40.00,0.5147,4,10,2025-12-28T15:39:59.162835
20000,40.00,0.1620,4,10,2025-12-28T16:09:46.144664
21000,50.00,0.3391,5,10,2025-12-28T16:39:25.956228
22000,50.00,0.0086,5,10,2025-12-28T17:09:08.273038
23000,40.00,0.0470,4,10,2025-12-28T18:08:47.688419
24000,50.00,0.6285,5,10,2025-12-28T19:43:31.097314
25000,40.00,-0.6611,4,10,2025-12-28T21:24:09.450340
26000,40.00,0.1873,4,10,2025-12-28T23:04:44.797511
27000,40.00,-0.0942,4,10,2025-12-29T00:40:07.133145
28000,40.00,1.0763,4,10,2025-12-29T02:13:25.887769
29000,40.00,0.1989,4,10,2025-12-29T03:47:25.763211
30000,40.00,0.5164,4,10,2025-12-29T05:21:10.676839
31000,40.00,0.2835,4,10,2025-12-29T06:54:58.598107
32000,40.00,1.1142,4,10,2025-12-29T08:30:11.988732
33000,40.00,0.4586,4,10,2025-12-29T10:02:46.387490
34000,40.00,-0.0858,4,10,2025-12-29T11:35:05.662570
35000,40.00,-0.2920,4,10,2025-12-29T13:06:19.971567
36000,40.00,0.3937,4,10,2025-12-29T14:41:56.469687
37000,40.00,0.6222,4,10,2025-12-29T16:18:27.574268
38000,40.00,1.4344,4,10,2025-12-29T17:54:49.234385
39000,40.00,0.1999,4,10,2025-12-29T19:35:52.816702
40000,40.00,0.8432,4,10,2025-12-29T21:17:25.441254
41000,40.00,0.6085,4,10,2025-12-29T22:59:08.756420
42000,40.00,0.8143,4,10,2025-12-30T00:42:21.739663
43000,40.00,1.2490,4,10,2025-12-30T02:22:27.652293
44000,40.00,0.0531,4,10,2025-12-30T03:59:16.893807
45000,40.00,1.2432,4,10,2025-12-30T05:37:59.180865
46000,40.00,-0.1244,4,10,2025-12-30T07:19:38.904788
47000,40.00,0.7125,4,10,2025-12-30T08:59:16.619940
48000,40.00,0.2886,4,10,2025-12-30T10:41:32.878115
49000,40.00,0.5902,4,10,2025-12-30T12:22:52.978256
50000,40.00,0.7185,4,10,2025-12-30T14:02:25.466549
51000,40.00,0.4330,4,10,2025-12-30T15:40:32.204472
52000,40.00,0.3681,4,10,2025-12-30T17:17:39.220485
53000,40.00,0.6793,4,10,2025-12-30T18:55:10.229187
54000,40.00,0.3841,4,10,2025-12-30T20:38:09.176330
55000,40.00,0.5689,4,10,2025-12-30T22:22:39.595735
56000,40.00,0.5202,4,10,2025-12-31T00:05:45.644023
57000,40.00,0.7474,4,10,2025-12-31T01:47:29.769685
58000,40.00,0.8171,4,10,2025-12-31T03:27:23.631815
59000,40.00,0.6560,4,10,2025-12-31T05:07:45.194228
60000,40.00,0.6099,4,10,2025-12-31T06:47:17.687942
61000,40.00,0.6660,4,10,2025-12-31T08:28:50.438461
62000,40.00,0.5681,4,10,2025-12-31T10:09:20.866864
63000,40.00,0.7965,4,10,2025-12-31T11:50:54.769575
64000,40.00,0.9835,4,10,2025-12-31T13:29:52.614216
65000,40.00,0.5726,4,10,2025-12-31T15:08:19.509385
66000,40.00,0.6753,4,10,2025-12-31T16:47:05.824222
67000,40.00,0.4865,4,10,2025-12-31T18:24:26.461571
68000,40.00,0.6746,4,10,2025-12-31T20:02:26.345775
69000,40.00,0.8294,4,10,2025-12-31T21:47:22.997631
70000,40.00,0.8923,4,10,2025-12-31T23:26:20.621323
71000,40.00,0.4687,4,10,2026-01-01T01:06:53.067604
72000,40.00,0.4359,4,10,2026-01-01T02:46:09.555561
