step,en_loss,en_ppl,fr_loss,fr_ppl,loss_diff,timestamp
50,8.2203,3715.55,8.5447,5139.58,-0.3244,2025-12-28T06:15:33.343272
100,5.4171,225.24,6.0086,406.92,-0.5915,2025-12-28T06:18:13.318648
150,7.6713,2145.78,8.0174,3033.25,-0.3461,2025-12-28T06:19:42.274638
200,7.5121,1830.03,7.9938,2962.51,-0.4817,2025-12-28T06:21:11.633708
250,7.3683,1584.86,7.9871,2942.74,-0.6188,2025-12-28T06:22:41.102074
300,7.3272,1521.07,8.0087,3007.00,-0.6815,2025-12-28T06:24:10.488048
350,7.2938,1471.17,8.0185,3036.60,-0.7247,2025-12-28T06:25:39.682604
400,7.1802,1313.16,7.4475,1715.54,-0.2673,2025-12-28T06:27:08.041056
450,7.1094,1223.37,7.5536,1907.54,-0.4442,2025-12-28T06:28:36.585334
500,7.0994,1211.20,7.5949,1988.07,-0.4956,2025-12-28T06:30:05.565219
550,7.0422,1143.87,7.3557,1565.16,-0.3136,2025-12-28T06:31:34.473397
600,6.9867,1082.19,7.3051,1487.89,-0.3184,2025-12-28T06:33:03.367424
650,7.0484,1150.98,7.5477,1896.28,-0.4993,2025-12-28T06:34:32.021244
700,6.9211,1013.44,7.2965,1475.12,-0.3754,2025-12-28T06:36:01.188393
750,6.8213,917.22,7.1271,1245.26,-0.3058,2025-12-28T06:37:30.560457
800,6.8917,984.03,7.2547,1414.77,-0.3631,2025-12-28T06:38:59.793653
850,6.8493,943.23,7.1511,1275.45,-0.3017,2025-12-28T06:40:29.107141
900,6.8206,916.50,7.1902,1326.42,-0.3697,2025-12-28T06:41:58.120315
950,6.8934,985.74,7.0612,1165.82,-0.1678,2025-12-28T06:43:27.196302
1000,6.7956,893.95,7.4592,1735.74,-0.6635,2025-12-28T06:44:55.224055
1050,6.7666,868.39,7.1222,1239.23,-0.3556,2025-12-28T06:46:37.352959
1100,6.6766,793.65,7.1121,1226.71,-0.4354,2025-12-28T06:48:06.312775
1150,6.7437,848.70,7.0885,1198.14,-0.3448,2025-12-28T06:49:35.194709
1200,6.7930,891.60,7.0106,1108.27,-0.2175,2025-12-28T06:51:04.914950
1250,6.7741,874.88,6.9069,999.15,-0.1328,2025-12-28T06:52:34.818928
1300,6.6425,767.01,7.0002,1096.88,-0.3577,2025-12-28T06:54:03.986538
1350,6.6967,809.73,6.8010,898.73,-0.1043,2025-12-28T06:55:33.236407
1400,6.5562,703.59,6.8716,964.53,-0.3154,2025-12-28T06:57:02.053293
1450,6.7181,827.22,6.9512,1044.38,-0.2331,2025-12-28T06:58:30.970079
1500,6.7321,838.94,7.0066,1103.86,-0.2744,2025-12-28T06:59:59.797081
1550,6.6936,807.19,6.7461,850.76,-0.0526,2025-12-28T07:01:29.146664
1600,6.6194,749.49,6.8835,976.05,-0.2641,2025-12-28T07:02:58.370192
1650,6.5837,723.18,6.8835,976.00,-0.2998,2025-12-28T07:04:27.702722
1700,6.5546,702.45,6.8383,932.88,-0.2837,2025-12-28T07:05:56.815522
1750,6.7479,852.23,6.8477,941.75,-0.0999,2025-12-28T07:07:24.966114
1800,6.6314,758.52,6.7052,816.61,-0.0738,2025-12-28T07:08:53.515888
1850,6.6439,768.12,6.7142,824.06,-0.0703,2025-12-28T07:10:22.162319
1900,6.6163,747.21,6.8532,946.92,-0.2369,2025-12-28T07:11:50.773996
1950,6.5920,729.22,6.7288,836.14,-0.1368,2025-12-28T07:13:19.420877
2000,6.5857,724.66,6.8851,977.59,-0.2994,2025-12-28T07:14:48.452067
2050,6.6162,747.08,6.6169,747.60,-0.0007,2025-12-28T07:16:31.034740
2100,6.7732,874.07,6.8692,962.15,-0.0960,2025-12-28T07:17:59.245348
2150,6.5217,679.73,6.6765,793.57,-0.1548,2025-12-28T07:19:28.319581
2200,6.5668,711.12,7.1343,1254.23,-0.5674,2025-12-28T07:20:56.805243
2250,6.5496,698.97,6.8296,924.80,-0.2800,2025-12-28T07:22:25.249811
2300,6.5355,689.18,6.2306,508.04,0.3049,2025-12-28T07:23:53.916795
2350,6.6431,767.50,6.8973,989.57,-0.2541,2025-12-28T07:25:22.864076
2400,6.5653,710.00,6.8121,908.74,-0.2468,2025-12-28T07:26:51.233793
2450,6.6075,740.60,6.8902,982.57,-0.2827,2025-12-28T07:28:19.901416
2500,6.5808,721.11,6.8539,947.61,-0.2732,2025-12-28T07:29:48.062273
2550,6.6137,745.22,6.2678,527.33,0.3459,2025-12-28T07:31:16.136305
