step,loss,perplexity,timestamp
50,8.2203,3715.55,2025-12-28T06:15:33.343457
100,5.4171,225.24,2025-12-28T06:18:13.318775
150,7.6713,2145.78,2025-12-28T06:19:42.274795
200,7.5121,1830.03,2025-12-28T06:21:11.633997
250,7.3683,1584.86,2025-12-28T06:22:41.102239
300,7.3272,1521.07,2025-12-28T06:24:10.488221
350,7.2938,1471.17,2025-12-28T06:25:39.682788
400,7.1802,1313.16,2025-12-28T06:27:08.041236
450,7.1094,1223.37,2025-12-28T06:28:36.585506
500,7.0994,1211.20,2025-12-28T06:30:05.565385
550,7.0422,1143.87,2025-12-28T06:31:34.473685
600,6.9867,1082.19,2025-12-28T06:33:03.367580
650,7.0484,1150.98,2025-12-28T06:34:32.021405
700,6.9211,1013.44,2025-12-28T06:36:01.188547
750,6.8213,917.22,2025-12-28T06:37:30.560646
800,6.8917,984.03,2025-12-28T06:38:59.793872
850,6.8493,943.23,2025-12-28T06:40:29.107300
900,6.8206,916.50,2025-12-28T06:41:58.120535
950,6.8934,985.74,2025-12-28T06:43:27.196492
1000,6.7956,893.95,2025-12-28T06:44:55.224220
1050,6.7666,868.39,2025-12-28T06:46:37.353122
1100,6.6766,793.65,2025-12-28T06:48:06.312940
1150,6.7437,848.70,2025-12-28T06:49:35.194927
1200,6.7930,891.60,2025-12-28T06:51:04.915141
1250,6.7741,874.88,2025-12-28T06:52:34.819069
1300,6.6425,767.01,2025-12-28T06:54:03.986686
1350,6.6967,809.73,2025-12-28T06:55:33.236558
1400,6.5562,703.59,2025-12-28T06:57:02.053471
1450,6.7181,827.22,2025-12-28T06:58:30.970219
1500,6.7321,838.94,2025-12-28T06:59:59.797283
1550,6.6936,807.19,2025-12-28T07:01:29.146819
1600,6.6194,749.49,2025-12-28T07:02:58.370381
1650,6.5837,723.18,2025-12-28T07:04:27.702916
1700,6.5546,702.45,2025-12-28T07:05:56.815704
1750,6.7479,852.23,2025-12-28T07:07:24.966258
1800,6.6314,758.52,2025-12-28T07:08:53.516016
1850,6.6439,768.12,2025-12-28T07:10:22.162478
1900,6.6163,747.21,2025-12-28T07:11:50.774120
