step,loss,ppl,grammar_acc,grammar_lr,timestamp
72500,7.610041,2018.36,,,2026-01-01T04:47:05.032438
73000,7.322935,1514.64,,,2026-01-01T04:50:01.533453
73000,7.322935,1514.64,0.6000,0.1044,2026-01-01T04:50:01.705533
72500,7.610041,2018.36,,,2026-01-01T05:08:06.621302
73000,7.322935,1514.64,,,2026-01-01T05:11:03.258957
73000,7.322935,1514.64,0.6000,0.1044,2026-01-01T05:11:03.434043
73500,7.469437,1753.62,,,2026-01-01T05:14:17.967311
74000,7.260650,1423.18,,,2026-01-01T05:17:14.384353
74000,7.260650,1423.18,0.6000,0.1731,2026-01-01T05:17:14.502013
74500,7.347517,1552.34,,,2026-01-01T05:20:16.975901
75000,7.388735,1617.66,,,2026-01-01T05:23:14.023299
75000,7.388735,1617.66,0.6000,0.1772,2026-01-01T05:23:14.140086
75500,7.407234,1647.86,,,2026-01-01T05:26:17.732784
76000,7.317204,1505.99,,,2026-01-01T05:29:14.503049
76000,7.317204,1505.99,0.6000,0.1533,2026-01-01T05:29:14.605204
76500,7.347416,1552.18,,,2026-01-01T05:32:17.438613
77000,7.369048,1586.12,,,2026-01-01T05:35:14.313807
77000,7.369048,1586.12,0.6000,0.1782,2026-01-01T05:35:14.418081
77500,7.359764,1571.47,,,2026-01-01T05:38:17.881154
78000,7.477629,1768.04,,,2026-01-01T05:41:14.846762
78000,7.477629,1768.04,0.6000,0.1591,2026-01-01T05:41:14.945059
78500,7.290924,1466.92,,,2026-01-01T05:44:17.662060
79000,7.208233,1350.50,,,2026-01-01T05:47:14.677137
79000,7.208233,1350.50,0.6000,0.1004,2026-01-01T05:47:14.791031
79500,7.276266,1445.58,,,2026-01-01T05:50:17.829807
80000,6.992323,1088.25,,,2026-01-01T05:53:14.758486
80000,6.992323,1088.25,0.6000,0.1502,2026-01-01T05:53:14.866505
80500,7.089079,1198.80,,,2026-01-01T05:56:17.987504
81000,7.065113,1170.41,,,2026-01-01T05:59:15.417368
81000,7.065113,1170.41,0.6000,0.1828,2026-01-01T05:59:15.534904
81500,6.918572,1010.88,,,2026-01-01T06:02:20.255089
82000,7.094431,1205.24,,,2026-01-01T06:05:17.282306
82000,7.094431,1205.24,0.6000,0.1587,2026-01-01T06:05:17.383762
82500,6.900895,993.16,,,2026-01-01T06:08:20.770581
83000,6.838436,933.03,,,2026-01-01T06:11:18.276345
83000,6.838436,933.03,0.6000,0.1682,2026-01-01T06:11:18.403665
83500,6.838592,933.17,,,2026-01-01T06:14:22.325268
84000,6.655032,776.68,,,2026-01-01T06:17:19.842201
84000,6.655032,776.68,0.6000,0.1465,2026-01-01T06:17:19.944508
84500,6.629322,756.97,,,2026-01-01T06:20:24.448904
85000,6.712287,822.45,,,2026-01-01T06:23:21.861224
85000,6.712287,822.45,0.6000,0.2443,2026-01-01T06:23:21.979609
85500,6.741259,846.63,,,2026-01-01T06:26:25.376455
86000,6.742491,847.67,,,2026-01-01T06:29:22.943103
86000,6.742491,847.67,0.6000,0.1783,2026-01-01T06:29:23.064731
86500,6.610043,742.51,,,2026-01-01T06:32:27.421535
87000,6.569293,712.87,,,2026-01-01T06:35:24.907640
87000,6.569293,712.87,0.6000,0.1774,2026-01-01T06:35:25.009332
87500,6.560329,706.50,,,2026-01-01T06:38:29.251720
88000,6.571167,714.20,,,2026-01-01T06:41:26.816697
88000,6.571167,714.20,0.6000,0.1801,2026-01-01T06:41:26.934280
88500,6.687796,802.55,,,2026-01-01T06:44:31.185031
89000,6.464008,641.63,,,2026-01-01T06:47:28.866491
89000,6.464008,641.63,0.6000,0.0516,2026-01-01T06:47:28.991653
89500,6.321174,556.23,,,2026-01-01T06:50:32.973494
90000,6.339373,566.44,,,2026-01-01T06:53:30.432693
90000,6.339373,566.44,0.6000,-0.0892,2026-01-01T06:53:30.542662
90500,6.366544,582.04,,,2026-01-01T06:56:35.603867
91000,6.455293,636.06,,,2026-01-01T06:59:33.343577
91000,6.455293,636.06,0.6000,0.1038,2026-01-01T06:59:33.442392
91500,6.383364,591.92,,,2026-01-01T07:02:37.385822
92000,6.193474,489.54,,,2026-01-01T07:05:34.986525
92000,6.193474,489.54,0.6000,0.2449,2026-01-01T07:05:35.095003
92500,6.324215,557.92,,,2026-01-01T07:08:38.496882
93000,6.144017,465.92,,,2026-01-01T07:11:36.169290
93000,6.144017,465.92,0.6000,0.1873,2026-01-01T07:11:36.269012
93500,6.161139,473.97,,,2026-01-01T07:14:39.702654
94000,6.273791,530.48,,,2026-01-01T07:17:37.428716
