step,loss,ppl,grammar_acc,grammar_lr,timestamp
72500,7.833955,2524.90,,,2026-01-01T04:47:09.527887
73000,7.883878,2654.15,,,2026-01-01T04:50:07.187525
73000,7.883878,2654.15,0.4000,-0.2222,2026-01-01T04:50:07.359252
72500,7.833955,2524.90,,,2026-01-01T05:08:10.171378
73000,7.883878,2654.15,,,2026-01-01T05:11:07.892736
73000,7.883878,2654.15,0.4000,-0.2222,2026-01-01T05:11:08.026588
73500,7.799938,2440.45,,,2026-01-01T05:14:23.155843
74000,7.862576,2598.20,,,2026-01-01T05:17:20.762246
74000,7.862576,2598.20,0.4000,-0.2361,2026-01-01T05:17:20.883205
74500,7.590025,1978.36,,,2026-01-01T05:20:23.949779
75000,7.937480,2800.29,,,2026-01-01T05:23:21.954361
75000,7.937480,2800.29,0.4000,-0.2557,2026-01-01T05:23:22.071855
75500,7.721054,2255.34,,,2026-01-01T05:26:25.233533
76000,7.694576,2196.40,,,2026-01-01T05:29:23.136606
76000,7.694576,2196.40,0.4000,-0.4105,2026-01-01T05:29:23.244910
76500,7.590872,1980.04,,,2026-01-01T05:32:26.616459
77000,7.801422,2444.07,,,2026-01-01T05:35:24.707980
77000,7.801422,2444.07,0.4000,-0.2243,2026-01-01T05:35:24.805224
77500,7.679508,2163.56,,,2026-01-01T05:38:28.233755
78000,7.663759,2129.75,,,2026-01-01T05:41:26.241450
78000,7.663759,2129.75,0.4000,-0.3707,2026-01-01T05:41:26.338063
78500,7.416774,1663.66,,,2026-01-01T05:44:29.547568
79000,7.375568,1596.50,,,2026-01-01T05:47:27.751044
79000,7.375568,1596.50,0.4000,-0.2255,2026-01-01T05:47:27.849957
79500,7.339214,1539.50,,,2026-01-01T05:50:31.026566
80000,7.549899,1900.55,,,2026-01-01T05:53:29.199371
80000,7.549899,1900.55,0.4000,-0.1914,2026-01-01T05:53:29.322740
80500,7.289381,1464.66,,,2026-01-01T05:56:32.661904
81000,7.343799,1546.58,,,2026-01-01T05:59:30.963245
81000,7.343799,1546.58,0.4000,-0.2419,2026-01-01T05:59:31.079033
81500,7.276399,1445.77,,,2026-01-01T06:02:34.802823
82000,7.488665,1787.66,,,2026-01-01T06:05:32.971268
82000,7.488665,1787.66,0.4000,-0.1463,2026-01-01T06:05:33.086855
82500,6.811980,908.67,,,2026-01-01T06:08:37.242731
83000,7.055871,1159.65,,,2026-01-01T06:11:35.973638
83000,7.055871,1159.65,0.4000,-0.1772,2026-01-01T06:11:36.107361
83500,7.211118,1354.41,,,2026-01-01T06:14:40.558126
84000,7.158428,1284.89,,,2026-01-01T06:17:39.542319
84000,7.158428,1284.89,0.4000,-0.3307,2026-01-01T06:17:39.662492
84500,7.065831,1171.26,,,2026-01-01T06:20:43.934329
85000,6.716632,826.03,,,2026-01-01T06:23:42.769086
85000,6.716632,826.03,0.4000,-0.3535,2026-01-01T06:23:42.908756
85500,7.065285,1170.62,,,2026-01-01T06:26:47.866687
86000,6.925923,1018.33,,,2026-01-01T06:29:46.507228
86000,6.925923,1018.33,0.4000,-0.1585,2026-01-01T06:29:46.625352
86500,7.064057,1169.18,,,2026-01-01T06:32:50.426527
87000,7.029771,1129.77,,,2026-01-01T06:35:49.153482
87000,7.029771,1129.77,0.4000,-0.3365,2026-01-01T06:35:49.275205
87500,7.096014,1207.15,,,2026-01-01T06:38:53.521493
88000,6.918725,1011.03,,,2026-01-01T06:41:52.353805
88000,6.918725,1011.03,0.6000,0.0402,2026-01-01T06:41:52.453090
88500,6.781695,881.56,,,2026-01-01T06:44:56.475412
89000,6.738248,844.08,,,2026-01-01T06:47:55.497766
89000,6.738248,844.08,0.6000,-0.2030,2026-01-01T06:47:55.615104
89500,6.236145,510.89,,,2026-01-01T06:50:59.552960
90000,6.663001,782.90,,,2026-01-01T06:53:58.150561
90000,6.663001,782.90,0.6000,0.4950,2026-01-01T06:53:58.267238
90500,6.867081,960.14,,,2026-01-01T06:57:02.826264
91000,7.017557,1116.06,,,2026-01-01T07:00:01.618716
91000,7.017557,1116.06,0.8000,0.5649,2026-01-01T07:00:01.738569
91500,6.602540,736.96,,,2026-01-01T07:03:05.829466
92000,6.444180,629.03,,,2026-01-01T07:06:04.476767
92000,6.444180,629.03,0.6000,0.5628,2026-01-01T07:06:04.574758
92500,6.692526,806.36,,,2026-01-01T07:09:08.339952
93000,6.619209,749.35,,,2026-01-01T07:12:07.118652
93000,6.619209,749.35,0.6000,0.2855,2026-01-01T07:12:07.242523
93500,6.470932,646.09,,,2026-01-01T07:15:10.874823
94000,6.312157,551.23,,,2026-01-01T07:18:09.569354
94000,6.312157,551.23,0.4000,-0.0554,2026-01-01T07:18:09.687295
94500,6.312374,551.35,,,2026-01-01T07:21:13.653073
95000,6.289304,538.78,,,2026-01-01T07:24:12.679272
95000,6.289304,538.78,0.4000,0.2201,2026-01-01T07:24:12.776778
95500,6.394543,598.57,,,2026-01-01T07:27:16.715777
96000,6.247372,516.65,,,2026-01-01T07:30:15.292622
96000,6.247372,516.65,0.4000,0.2424,2026-01-01T07:30:15.409693
96500,6.226099,505.78,,,2026-01-01T07:33:19.406590
97000,6.324776,558.23,,,2026-01-01T07:36:18.128149
97000,6.324776,558.23,0.6000,0.3399,2026-01-01T07:36:18.245412
97500,5.711557,302.34,,,2026-01-01T07:39:22.042538
98000,6.204105,494.78,,,2026-01-01T07:42:20.781331
98000,6.204105,494.78,0.4000,0.6887,2026-01-01T07:42:20.882997
98500,5.847494,346.37,,,2026-01-01T07:45:24.120063
99000,5.921862,373.11,,,2026-01-01T07:48:22.943463
99000,5.921862,373.11,0.4000,0.4851,2026-01-01T07:48:23.060367
99500,5.849980,347.23,,,2026-01-01T07:51:26.844551
100000,5.774625,322.02,,,2026-01-01T07:54:25.514300
100000,5.774625,322.02,0.6000,0.7935,2026-01-01T07:54:25.626030
100500,5.688897,295.57,,,2026-01-01T07:57:29.317911
101000,5.818862,336.59,,,2026-01-01T08:00:28.229846
101000,5.818862,336.59,0.6000,0.8444,2026-01-01T08:00:28.329849
101500,5.752691,315.04,,,2026-01-01T08:03:33.050992
102000,5.740032,311.07,,,2026-01-01T08:06:31.832323
102000,5.740032,311.07,0.6000,0.7982,2026-01-01T08:06:31.949720
102500,5.706567,300.84,,,2026-01-01T08:09:36.969248
103000,5.656243,286.07,,,2026-01-01T08:12:35.869230
103000,5.656243,286.07,0.4000,0.4547,2026-01-01T08:12:35.975485
103500,5.956352,386.20,,,2026-01-01T08:15:41.205518
104000,5.469674,237.38,,,2026-01-01T08:18:39.935216
104000,5.469674,237.38,0.6000,0.6155,2026-01-01T08:18:40.055035
104500,5.617292,275.14,,,2026-01-01T08:21:44.400646
105000,5.502894,245.40,,,2026-01-01T08:24:43.139306
105000,5.502894,245.40,0.4000,0.7444,2026-01-01T08:24:43.259901
105500,5.627389,277.94,,,2026-01-01T08:27:48.497683
106000,5.396809,220.70,,,2026-01-01T08:30:47.414153
106000,5.396809,220.70,0.6000,0.7279,2026-01-01T08:30:47.512425
106500,5.475778,238.84,,,2026-01-01T08:33:51.404465
107000,5.585563,266.55,,,2026-01-01T08:36:50.203618
107000,5.585563,266.55,0.6000,0.8158,2026-01-01T08:36:50.323786
107500,5.165241,175.08,,,2026-01-01T08:39:54.882745
108000,5.642453,282.15,,,2026-01-01T08:42:53.682573
108000,5.642453,282.15,0.8000,1.1446,2026-01-01T08:42:53.797641
108500,5.501214,244.99,,,2026-01-01T08:45:58.783433
109000,5.508189,246.70,,,2026-01-01T08:48:57.701964
109000,5.508189,246.70,0.8000,0.8214,2026-01-01T08:48:57.820336
109500,5.274970,195.38,,,2026-01-01T08:52:02.022114
110000,5.536396,253.76,,,2026-01-01T08:55:00.830874
110000,5.536396,253.76,0.8000,1.1363,2026-01-01T08:55:00.948392
110500,5.469949,237.45,,,2026-01-01T08:58:04.576118
111000,5.158336,173.87,,,2026-01-01T09:01:03.259295
111000,5.158336,173.87,0.8000,1.1571,2026-01-01T09:01:03.370043
111500,4.995783,147.79,,,2026-01-01T09:04:06.942408
112000,5.107627,165.28,,,2026-01-01T09:07:05.841479
112000,5.107627,165.28,0.8000,1.1156,2026-01-01T09:07:05.959443
112500,5.143693,171.35,,,2026-01-01T09:10:09.399391
113000,4.858350,128.81,,,2026-01-01T09:13:07.991082
113000,4.858350,128.81,0.8000,1.5318,2026-01-01T09:13:08.088998
113500,4.911408,135.83,,,2026-01-01T09:16:12.027734
114000,5.003582,148.95,,,2026-01-01T09:19:10.842401
