step,loss,probe_accuracy,timestamp
500,9.171647,,2026-01-01T04:11:54.892443
1000,7.755864,,2026-01-01T04:14:10.650742
1000,7.755864,0.6667,2026-01-01T04:14:10.951685
1500,7.605024,,2026-01-01T04:17:40.735217
2000,7.129638,,2026-01-01T04:21:33.396452
2000,7.129638,0.6667,2026-01-01T04:21:33.691649
2500,7.189344,,2026-01-01T04:23:52.865949
3000,6.882493,,2026-01-01T04:26:10.430551
3000,6.882493,0.7333,2026-01-01T04:26:10.679314
3500,6.834570,,2026-01-01T04:28:29.896724
4000,6.697250,,2026-01-01T04:30:47.205798
4000,6.697250,0.7333,2026-01-01T04:30:47.452043
4500,6.662270,,2026-01-01T04:33:06.471745
5000,6.575530,,2026-01-01T04:35:23.757022
5000,6.575530,0.7333,2026-01-01T04:35:24.000552
5500,6.457693,,2026-01-01T04:37:43.379536
6000,6.437601,,2026-01-01T04:40:00.881687
6000,6.437601,0.7333,2026-01-01T04:40:01.126389
6500,6.425101,,2026-01-01T04:42:20.552581
7000,6.235355,,2026-01-01T04:44:38.357065
7000,6.235355,0.6667,2026-01-01T04:44:38.607007
7500,6.217315,,2026-01-01T04:46:58.089222
8000,6.332768,,2026-01-01T04:49:16.045003
8000,6.332768,0.6667,2026-01-01T04:49:16.278649
8500,6.112578,,2026-01-01T04:51:36.265803
9000,6.151667,,2026-01-01T04:53:54.260505
9000,6.151667,0.8667,2026-01-01T04:53:54.500528
9500,6.051324,,2026-01-01T04:56:14.218683
10000,5.941769,,2026-01-01T04:58:32.548168
10000,5.941769,0.8000,2026-01-01T04:58:32.789917
10500,5.923435,,2026-01-01T05:00:52.644459
11000,5.830998,,2026-01-01T05:03:10.595616
11000,5.830998,0.8000,2026-01-01T05:03:10.830267
11500,5.891516,,2026-01-01T05:05:30.567063
12000,5.783397,,2026-01-01T05:07:48.731141
12000,5.783397,0.8000,2026-01-01T05:07:48.973464
12500,5.607007,,2026-01-01T05:10:09.110825
13000,5.658088,,2026-01-01T05:12:27.720096
13000,5.658088,0.7333,2026-01-01T05:12:27.962662
13500,5.702782,,2026-01-01T05:14:47.896539
14000,5.621809,,2026-01-01T05:17:06.688069
14000,5.621809,0.8000,2026-01-01T05:17:06.939164
14500,5.579623,,2026-01-01T05:19:27.523853
15000,5.531347,,2026-01-01T05:21:46.219366
15000,5.531347,0.6667,2026-01-01T05:21:46.464033
15500,5.440465,,2026-01-01T05:24:06.591489
16000,5.421166,,2026-01-01T05:26:25.849078
16000,5.421166,0.6667,2026-01-01T05:26:26.086153
16500,5.430927,,2026-01-01T05:28:46.315718
17000,5.446134,,2026-01-01T05:31:05.196174
17000,5.446134,0.6667,2026-01-01T05:31:05.433225
17500,5.435341,,2026-01-01T05:33:25.721899
18000,5.337314,,2026-01-01T05:35:44.505351
18000,5.337314,0.8000,2026-01-01T05:35:44.740818
18500,5.321089,,2026-01-01T05:38:05.346430
19000,5.307035,,2026-01-01T05:40:23.902652
19000,5.307035,0.7333,2026-01-01T05:40:24.138801
19500,5.232783,,2026-01-01T05:42:44.336534
20000,5.220014,,2026-01-01T05:45:03.111516
20000,5.220014,0.7333,2026-01-01T05:45:03.347373
20500,5.167626,,2026-01-01T05:47:23.570218
21000,5.186494,,2026-01-01T05:49:42.270727
21000,5.186494,0.6000,2026-01-01T05:49:42.509108
21500,5.131515,,2026-01-01T05:52:04.462286
22000,5.174056,,2026-01-01T05:54:23.073852
22000,5.174056,0.7333,2026-01-01T05:54:23.309314
22500,5.143108,,2026-01-01T05:56:43.890961
23000,5.032242,,2026-01-01T05:59:03.077183
23000,5.032242,0.7333,2026-01-01T05:59:03.313377
23500,4.997284,,2026-01-01T06:01:23.718828
24000,5.024684,,2026-01-01T06:03:42.620401
