step,loss,perplexity,timestamp
50,7.1228,1239.89,2026-01-01T04:00:46.875027
100,6.2982,543.58,2026-01-01T04:01:00.912813
150,6.3996,601.63,2026-01-01T04:01:15.152399
200,6.3154,553.04,2026-01-01T04:01:29.433311
250,5.9326,377.12,2026-01-01T04:01:43.740179
300,5.8982,364.37,2026-01-01T04:01:58.089584
350,5.8722,355.02,2026-01-01T04:02:12.437769
400,6.0031,404.69,2026-01-01T04:02:26.798914
450,5.6448,282.82,2026-01-01T04:02:41.164167
500,5.6631,288.05,2026-01-01T04:02:55.564581
550,5.8363,342.53,2026-01-01T04:03:09.951699
600,5.6613,287.51,2026-01-01T04:03:24.341826
650,5.8586,350.22,2026-01-01T04:03:38.711123
700,5.3374,207.97,2026-01-01T04:03:53.106945
750,5.2392,188.53,2026-01-01T04:04:07.517762
800,5.5539,258.24,2026-01-01T04:04:21.910211
850,5.3770,216.38,2026-01-01T04:04:36.305935
900,5.3945,220.19,2026-01-01T04:04:50.716880
950,5.0849,161.56,2026-01-01T04:05:05.109629
1000,5.1715,176.18,2026-01-01T04:05:19.531299
1050,5.2178,184.53,2026-01-01T04:05:35.938166
1100,5.2573,191.96,2026-01-01T04:05:50.309665
1150,5.1067,165.13,2026-01-01T04:06:04.684535
1200,5.2279,186.39,2026-01-01T04:06:19.093517
1250,5.0711,159.35,2026-01-01T04:06:33.481740
1300,5.1258,168.31,2026-01-01T04:06:47.863682
1350,5.0901,162.41,2026-01-01T04:07:02.275373
1400,4.6862,108.44,2026-01-01T04:07:16.688078
1450,5.3521,211.05,2026-01-01T04:07:31.086801
1500,5.1439,171.39,2026-01-01T04:07:45.509084
1550,5.1691,175.75,2026-01-01T04:07:59.921437
1600,5.0877,162.02,2026-01-01T04:08:14.323639
1650,5.1690,175.73,2026-01-01T04:08:28.719904
1700,5.1028,164.49,2026-01-01T04:08:43.136401
