step,loss,ppl,tokens_M,grammar_acc,reasoning_acc,val_ppl,H_logit_entropy,H_top_k,timestamp
500,9.611547,14936.26,1.0,,,,,2026-01-05T03:12:04.521621
1000,8.050222,3134.49,2.0,,,,,2026-01-05T03:12:49.990634
1000,8.050222,3134.49,2.0,0.3667,0.0000,3876.93,0.5390,0.5743,2026-01-05T03:12:59.383216
1500,7.528490,1860.29,3.1,,,,,2026-01-05T03:13:45.441610
2000,7.411262,1654.51,4.1,,,,,2026-01-05T03:14:30.642577
2000,7.411262,1654.51,4.1,0.4333,0.0000,1384.02,0.7308,0.7471,2026-01-05T03:14:39.900406
2500,7.231063,1381.69,5.1,,,,,2026-01-05T03:15:25.810445
3000,7.112694,1227.45,6.1,,,,,2026-01-05T03:16:11.427091
3000,7.112694,1227.45,6.1,0.4333,0.0000,1085.64,0.6913,0.6896,2026-01-05T03:16:20.573071
3500,6.905005,997.25,7.2,,,,,2026-01-05T03:17:06.775690
4000,7.061463,1166.15,8.2,,,,,2026-01-05T03:17:52.734082
4000,7.061463,1166.15,8.2,0.4000,0.0000,962.84,0.7405,0.7491,2026-01-05T03:18:01.855480
4500,7.055984,1159.78,9.2,,,,,2026-01-05T03:18:48.341424
5000,6.897734,990.03,10.2,,,,,2026-01-05T03:19:33.646548
5000,6.897734,990.03,10.2,0.4000,0.0000,801.25,0.7605,0.7711,2026-01-05T03:19:42.849884
5500,6.613735,745.26,11.3,,,,,2026-01-05T03:20:28.812113
6000,6.903885,996.14,12.3,,,,,2026-01-05T03:21:13.530736
6000,6.903885,996.14,12.3,0.4667,0.0000,736.60,0.6579,0.6460,2026-01-05T03:21:22.653172
6500,6.587027,725.62,13.3,,,,,2026-01-05T03:22:07.986611
7000,6.383763,592.15,14.3,,,,,2026-01-05T03:22:52.574479
7000,6.383763,592.15,14.3,0.5333,0.0000,558.07,0.7831,0.7792,2026-01-05T03:23:01.999492
7500,7.008689,1106.20,15.4,,,,,2026-01-05T03:23:47.367827
8000,6.370261,584.21,16.4,,,,,2026-01-05T03:24:32.961216
8000,6.370261,584.21,16.4,0.4667,0.0000,486.06,0.7231,0.7144,2026-01-05T03:24:45.660051
8500,6.322498,556.96,17.4,,,,,2026-01-05T03:25:40.229554
9000,6.010150,407.54,18.4,,,,,2026-01-05T03:26:31.105288
9000,6.010150,407.54,18.4,0.5000,0.0000,443.56,0.7589,0.7644,2026-01-05T03:26:43.852539
9500,6.151801,469.56,19.5,,,,,2026-01-05T03:27:37.439070
10000,6.156791,471.91,20.5,,,,,2026-01-05T03:28:29.189505
10000,6.156791,471.91,20.5,0.5667,0.0000,394.61,0.7198,0.7162,2026-01-05T03:28:41.281927
10500,5.936301,378.53,21.5,,,,,2026-01-05T03:29:34.895309
11000,5.992347,400.35,22.5,,,,,2026-01-05T03:30:26.937169
11000,5.992347,400.35,22.5,0.6667,0.0000,365.55,0.7095,0.7109,2026-01-05T03:30:38.942762
11500,5.834866,342.02,23.6,,,,,2026-01-05T03:31:31.174640
