step,accuracy,mean_log_ratio,correct,total,timestamp
1000,50.00,0.6710,5,10,2025-12-24T16:04:12.567715
2000,60.00,2.3294,6,10,2025-12-24T16:09:18.922910
3000,60.00,1.9368,6,10,2025-12-24T16:23:30.764127
4000,60.00,3.5783,6,10,2025-12-24T16:40:28.707558
5000,50.00,0.4416,5,10,2025-12-24T16:57:26.810366
6000,50.00,0.7903,5,10,2025-12-24T17:14:24.515784
7000,60.00,3.3924,6,10,2025-12-24T17:31:22.023614
8000,50.00,0.8713,5,10,2025-12-24T17:48:19.482166
9000,50.00,0.3271,5,10,2025-12-24T18:05:16.896671
10000,40.00,0.7183,4,10,2025-12-24T18:22:14.099350
11000,60.00,1.2256,6,10,2025-12-24T18:39:11.005562
12000,60.00,1.1330,6,10,2025-12-24T18:56:08.720955
13000,50.00,1.1987,5,10,2025-12-24T19:13:07.961770
14000,40.00,-0.0177,4,10,2025-12-24T19:33:29.832423
