step,en_loss,en_ppl,fr_loss,fr_ppl,loss_diff,timestamp
50,8.0809,3232.19,8.4181,4528.22,-0.3372,2025-12-24T15:58:50.201257
100,7.6713,2145.97,8.3942,4421.16,-0.7228,2025-12-24T15:59:05.068976
150,7.3770,1598.74,7.8699,2617.25,-0.4929,2025-12-24T15:59:20.053199
200,7.3685,1585.23,7.8254,2503.34,-0.4569,2025-12-24T15:59:35.109113
250,7.2129,1356.79,7.6772,2158.62,-0.4644,2025-12-24T15:59:50.204001
300,7.2019,1342.02,7.6856,2176.72,-0.4836,2025-12-24T16:00:05.318558
350,7.0734,1180.14,7.5699,1939.02,-0.4965,2025-12-24T16:00:20.448267
400,6.9429,1035.74,7.3574,1567.73,-0.4145,2025-12-24T16:00:35.586560
450,6.9036,995.85,7.2427,1397.93,-0.3392,2025-12-24T16:00:50.730174
500,6.9184,1010.67,7.2595,1421.61,-0.3412,2025-12-24T16:01:05.879378
550,0.6988,2.01,0.7183,2.05,-0.0195,2025-12-24T16:01:41.379411
600,7.2028,1343.16,7.1050,1218.07,0.0978,2025-12-24T16:01:56.355995
650,6.7970,895.15,7.1775,1309.58,-0.3805,2025-12-24T16:02:11.434248
700,6.9096,1001.88,7.2851,1458.38,-0.3755,2025-12-24T16:02:26.553036
750,6.7859,885.25,7.2417,1396.48,-0.4558,2025-12-24T16:02:41.682322
800,6.6630,782.87,7.0871,1196.48,-0.4242,2025-12-24T16:02:56.819197
850,2.8830,17.87,2.9344,18.81,-0.0514,2025-12-24T16:03:24.169230
900,6.7015,813.66,6.9770,1071.71,-0.2755,2025-12-24T16:03:39.230278
950,6.6430,767.37,6.8765,969.27,-0.2336,2025-12-24T16:03:54.348439
1000,6.7249,832.86,6.8817,974.33,-0.1569,2025-12-24T16:04:09.489994
1050,6.6504,773.08,6.8171,913.35,-0.1667,2025-12-24T16:04:27.989268
1100,6.6262,754.59,6.7008,813.04,-0.0746,2025-12-24T16:04:43.118972
1150,6.7527,856.38,6.7654,867.31,-0.0127,2025-12-24T16:04:58.261600
1200,6.5986,734.04,6.7248,832.80,-0.1262,2025-12-24T16:05:13.412742
1250,6.6022,736.71,6.9443,1037.27,-0.3422,2025-12-24T16:05:28.565628
1300,6.5375,690.53,6.7382,844.04,-0.2007,2025-12-24T16:05:43.722027
1350,6.4713,646.34,7.2711,1438.15,-0.7998,2025-12-24T16:05:58.874432
1400,6.4655,642.56,6.7805,880.51,-0.3150,2025-12-24T16:06:14.027485
1450,6.3555,575.67,6.7156,825.21,-0.3601,2025-12-24T16:06:29.186095
1500,6.5795,720.18,6.4748,648.58,0.1047,2025-12-24T16:06:44.339399
1550,6.4841,654.66,6.7511,854.99,-0.2670,2025-12-24T16:06:59.496007
1600,6.4801,652.05,6.6616,781.81,-0.1815,2025-12-24T16:07:14.652077
1650,6.4529,634.55,6.6077,740.77,-0.1548,2025-12-24T16:07:29.809657
1700,6.5231,680.67,6.7398,845.40,-0.2167,2025-12-24T16:07:44.963113
1750,6.5090,671.14,6.7678,869.37,-0.2588,2025-12-24T16:08:00.121652
1800,6.4750,648.72,6.7422,847.44,-0.2672,2025-12-24T16:08:15.278749
1850,6.4267,618.11,6.6244,753.22,-0.1977,2025-12-24T16:08:30.438465
1900,6.5023,666.70,6.7774,877.76,-0.2750,2025-12-24T16:08:45.599115
1950,6.4648,642.15,6.6550,776.65,-0.1902,2025-12-24T16:09:00.761082
2000,6.3950,598.86,6.0871,440.13,0.3080,2025-12-24T16:09:15.917743
2050,6.4135,610.03,6.4970,663.12,-0.0834,2025-12-24T16:09:34.335726
2100,6.5014,666.05,6.7707,871.89,-0.2693,2025-12-24T16:09:49.503078
2150,6.4619,640.29,6.5410,693.00,-0.0791,2025-12-24T16:10:04.650006
2200,6.4149,610.89,6.3224,556.88,0.0926,2025-12-24T16:10:19.798704
2250,0.7712,2.16,0.7698,2.16,0.0013,2025-12-24T16:11:13.393303
2300,6.4433,628.48,6.4704,645.71,-0.0271,2025-12-24T16:11:51.201695
2350,6.3464,570.43,6.5407,692.75,-0.1943,2025-12-24T16:12:29.230917
2400,6.2941,541.35,6.5540,702.05,-0.2599,2025-12-24T16:13:07.388873
2450,2.3832,10.84,2.4840,11.99,-0.1008,2025-12-24T16:14:09.767376
2500,6.2801,533.86,6.5418,693.57,-0.2617,2025-12-24T16:15:00.372345
2550,6.3766,587.91,6.4286,619.30,-0.0520,2025-12-24T16:15:51.087408
2600,6.3338,563.30,6.3376,565.44,-0.0038,2025-12-24T16:16:41.791629
2650,6.2596,522.99,6.3133,551.85,-0.0537,2025-12-24T16:17:32.515381
2700,6.2363,510.97,6.3066,548.16,-0.0702,2025-12-24T16:18:23.273089
2750,6.2510,518.55,6.4484,631.67,-0.1973,2025-12-24T16:19:14.022489
2800,6.2248,505.10,6.2965,542.69,-0.0718,2025-12-24T16:20:04.759952
2850,6.1856,485.69,6.2365,511.06,-0.0509,2025-12-24T16:20:55.488245
2900,6.2076,496.49,6.2728,529.97,-0.0653,2025-12-24T16:21:46.181596
2950,6.1635,475.11,6.3186,554.77,-0.1550,2025-12-24T16:22:36.946466
3000,6.1733,479.74,6.2198,502.62,-0.0466,2025-12-24T16:23:27.684955
3050,6.1451,466.44,6.2364,511.03,-0.0913,2025-12-24T16:24:21.832630
3100,6.1826,484.24,6.1713,478.80,0.0113,2025-12-24T16:25:12.565017
3150,6.2350,510.29,6.2683,527.58,-0.0333,2025-12-24T16:26:03.283163
3200,6.1752,480.70,6.2307,508.11,-0.0554,2025-12-24T16:26:54.058597
3250,6.2375,511.60,6.2230,504.23,0.0145,2025-12-24T16:27:44.801111
3300,6.2626,524.59,6.0791,436.63,0.1835,2025-12-24T16:28:35.538730
3350,6.2838,535.84,6.0575,427.29,0.2264,2025-12-24T16:29:26.246564
3400,6.3034,546.44,6.0886,440.82,0.2148,2025-12-24T16:30:16.994946
3450,6.2690,527.95,6.1963,490.93,0.0727,2025-12-24T16:31:07.731780
3500,6.1930,489.33,6.0815,437.68,0.1115,2025-12-24T16:31:58.444432
3550,6.2373,511.46,6.0744,434.58,0.1629,2025-12-24T16:32:49.122082
3600,6.2623,524.45,5.9694,391.28,0.2929,2025-12-24T16:33:39.856902
3650,6.2514,518.74,5.9882,398.70,0.2632,2025-12-24T16:34:30.570265
3700,6.1785,482.29,6.0906,441.67,0.0880,2025-12-24T16:35:21.295095
3750,6.2878,537.96,5.9920,400.20,0.2958,2025-12-24T16:36:12.062569
